Actual_Conc,Stand_Conc,Actual_MR,Stand_MR,a,R,Mis,Percent_mis,Fold_IncDec,LogFold_IncDec
9.50E+08,1.00E+08,271.747872,28.593,1.18E-05,4.29E+01,0.666771215,66.67712154,9.504,0.977906428
5.00E+08,1.00E+08,55.5,11.1,4.08E-06,1.48E+01,0.74848896,74.84889604,5,0.698970004
1.21E+09,1.00E+09,85.626,71,3.06E-06,7.34E+01,0.9668464,96.68464002,1.206,0.081347308
1.14E+09,1.00E+09,95.592,84,3.58E-06,8.60E+01,0.976999616,97.69996156,1.138,0.056142262
1.17E+09,1.00E+09,106.47,91,3.90E-06,9.36E+01,0.972134923,97.21349227,1.17,0.068185862
1.45E+09,1.00E+09,139.296,96,4.28E-06,1.03E+02,0.935190025,93.51900248,1.451,0.161667412
1.20E+05,1.00E+06,0.007131946,0.059432881,4.88E-07,4.06E-02,1.464695596,146.4695596,0.12,-0.920818754
5.00E+07,1.00E+08,3.67,7.34,1.78E-06,6.48E+00,1.132883885,113.2883885,0.5,-0.301029996
3.25E+09,1.00E+09,544.07808,167.40864,8.63E-06,2.07E+02,0.808836973,80.88369727,3.25,0.511883361
2.00E+06,1.00E+07,2.954112,14.77056,2.01E-05,1.11E+01,1.336025049,133.6025049,0.2,-0.698970004
6.40E+07,1.00E+08,2.688,4.2,1.07E-06,3.88E+00,1.08364643,108.364643,0.64,-0.193820026
1.20E+08,1.00E+08,3.12,2.6,7.40E-07,2.69E+00,0.967714784,96.77147835,1.2,0.079181246
1.20E+08,1.00E+08,3.6,3,8.54E-07,3.10E+00,0.967714784,96.77147835,1.2,0.079181246
7.50E+08,1.00E+09,29.56464,39.41952,1.56E-06,3.74E+01,1.053146946,105.3146946,0.75,-0.124938737
2.17E+07,1.00E+08,1.773251818,8.178519916,1.71E-06,6.21E+00,1.316748324,131.6748324,0.216818182,-0.663904302
8.90E+06,1.00E+08,1.897709091,21.32257406,3.80E-06,1.38E+01,1.545645162,154.5645162,0.089,-1.050609993
8.32E+07,1.00E+08,2.80932,3.37732459,9.00E-07,3.27E+00,1.033700881,103.3700881,0.831818182,-0.079971591
3.75E+07,1.00E+08,4.40625,11.75,2.71E-06,9.85E+00,1.193093204,119.3093204,0.375,-0.425968732
3.75E+07,1.00E+08,2.42625,6.47,1.49E-06,5.42E+00,1.193093204,119.3093204,0.375,-0.425968732
7.40E+07,1.00E+08,24.28,32.81081081,8.56E-06,3.11E+01,1.055694577,105.5694577,0.74,-0.13076828
