Phyla,Class,Species,Motility_Percent,Sperm_Conc,VCL,VAP,VSL,MR measures?,reference_MR,Ref_Vel_Mot
Annelida,Polychaeta,Arenicola marina,70,1.00E+06,60,NA,NA,Y,(Campbell et al. 2017),(Campbell et al. 2017)
Annelida,Polychaeta,Galeolaria caespitosa,NA,1.00E+08,2.50E+02,NA,NA,Y,Kupriyanova & Havenhand 2005,Kupriyanova & Havenhand 2006
Arthropoda ,Insecta,Apis mellifera,100,7.76E+09,NA,NA,NA,Y,(Verma & Shuel 1973),(Verma & Shuel 1973)
Chordata,Actinopterygii,Acipenser baerii,NA,1.00E+09,120,NA,NA,Y,(Rahi et al. 2020),(Rahi et al. 2020)
Chordata,Actinopterygii,Alburnus chalcoides ,50.1,1.00E+08,NA,85.9,NA,Y,(Lahnsteiner et al. 1999),(Lahnsteiner et al. 1999)
Chordata,Actinopterygii,Alburnus chalcoides ,88.2,1.00E+08,NA,84.6,NA,Y,(Lahnsteiner et al. 1999),(Lahnsteiner et al. 1999)
Chordata,Actinopterygii,Boops boops,NA,NA,NA,NA,70,N,Browne et al (2015),Browne et al (2015)
Chordata,Actinopterygii,Cottus gobio,NA,NA,NA,NA,50,N,Browne et al (2015),Browne et al (2015)
Chordata,Actinopterygii,Cyprinus carpio,80,2.00E+10,160,NA,110,N,Cejko et al (2018),Cejko et al (2018)
Chordata,Actinopterygii,Dicentrarchus labrax,94.4,1.00E+10,NA,NA,141.8,N,"Browne et al (2015), Dreanno et al (1999)",Browne et al (2015)
Chordata,Actinopterygii,Gadus morhua,NA,4.50E+09,NA,NA,80,N,Browne et al (2015),Browne et al (2015)
Chordata,Actinopterygii,Hippoglossus hippoglossus,NA,2.00E+10,165,NA,NA,N,Browne et al (2015),Browne et al (2015)
Chordata,Actinopterygii,Lepomis macrochirus,NA,1.00E+08,NA,170,NA,N,Burness et al (2004),Burness et al (2004)
Chordata,Actinopterygii,Lepomis macrochirus,NA,1.00E+08,NA,210,NA,N,Burness et al (2004),Burness et al (2004)
Chordata,Actinopterygii,Litoria booroolongensis,71.84,3.56E+07,28.62,13.16,NA,N,Keogh et al (2018),Keogh et al (2018)
Chordata,Actinopterygii,Lota lota,NA,1.00E+09,70,NA,NA,Y,Rahi et al 2021,Rahi et al 2022
Chordata,Actinopterygii,Lota lota,NA,6.50E+10,NA,61,NA,N,"Browne et al (2015), Lahnsteiner et al (1997)",Browne et al (2015)
Chordata,Actinopterygii,Merluccius merluccius,NA,8.30E+09,NA,NA,130,N,"Browne et al (2015), Cosson et al (2008)",Browne et al (2015)
Chordata,Actinopterygii,Merluccius merluccius,NA,NA,NA,NA,1.50E+02,Y,(Demoy-Schneider et al. 2012),(Demoy-Schneider et al. 2012)
Chordata,Actinopterygii,Oncorhynchus mykiss,90.2,1.00E+08,NA,105,NA,Y,(Lahnsteiner et al. 1999),(Lahnsteiner et al. 1999)
Chordata,Actinopterygii,Oncorynchus mykiss,NA,NA,NA,NA,250,N,"Browne et al (2015), Billard and Cosson (1992)",Browne et al (2015)
Chordata,Actinopterygii,Perca fluviatilis,85,1.70E+10,NA,NA,122.4,N,"Browne et al (2015), Lahnsteiner et al (1995)",Browne et al (2015)
Chordata,Actinopterygii,Scophthalmus maximus,NA,NA,NA,NA,220,N,Browne et al (2015),Browne et al (2015)
Chordata,Actinopterygii,Sparus aurata ,80,1.01E+09,NA,NA,NA,N,Lahnsteiner et al (2012),Lahnsteiner et al (2012)
Chordata,Actinopterygii,Thunnus thynnus,NA,3.00E+10,NA,NA,220,N,"Browne et al (2015), Cosson et al (2008)",Browne et al (2015)
Chordata,Actinopterygii,Zosterisessor ophiocephalus,NA,1.00E+06,115,NA,NA,Y,(Locatello et al. 2020),(Locatello et al. 2020)
Chordata,Actinopterygii,Zosterisessor ophiocephalus,NA,1.00E+06,120,NA,NA,Y,(Locatello et al. 2020),(Locatello et al. 2020)
Chordata,Amphibia,Rhinella arenarum,70,1.00E+08,NA,NA,NA,Y,(Del Rio 1979),(Del Rio 1979)
Chordata,Ascidiacea,Ciona robusta,42.2,5.00E+07,NA,NA,NA,N,Gallo et al (2021),Gallo et al (2021)
Chordata,Aves,Gallus gallus ,NA,1.20E+06,NA,NA,20,Y,(Froman & Kirby 2005),(Froman & Kirby 2005)
Chordata,Aves,Gallus gallus ,NA,1.60E+06,NA,NA,34,Y,(Froman et al. 1999),(Froman et al. 1999)
Chordata,Aves,Gallus gallus ,100,5.00E+08,NA,NA,NA,Y,Ashizawa et al. 1989,Ashizawa et al. 1990
Chordata,Aves,Meleagris gallopavo,100,1.00E+06,NA,NA,NA,Y,Bade et al. 1956),Bade et al. 1956)
Chordata,Mammalia,Bos taurus,73.95,9.50E+08,NA,NA,NA,Y,(Al-Taha & Strzezek 1982),(Al-Taha & Strzezek 1982)
Chordata,Mammalia,Bos taurus,54.8,1.00E+08,NA,NA,NA,Y,(Fernández & Córdoba 2014),(Fernández & Córdoba 2014)
Chordata,Mammalia,Bos taurus,29.67,1.00E+08,NA,NA,NA,Y,(Fernández & Córdoba 2014),(Fernández & Córdoba 2014)
